Game Date,Game Time,Visitor,Home,Arena,City,Notes
3/10/2025,7:30p,Utah Jazz,Boston Celtics,TD Garden,Boston,
3/10/2025,7:30p,Los Angeles Lakers,Brooklyn Nets,Barclays Center,New York,
3/12/2025,7:30p,Oklahoma City Thunder,Boston Celtics,TD Garden,Boston,
3/14/2025,7:00p,Indiana Pacers,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
3/15/2025,6:00p,Boston Celtics,Brooklyn Nets,Barclays Center,New York,
3/16/2025,6:00p,Atlanta Hawks,Brooklyn Nets,Barclays Center,New York,
3/17/2025,7:30p,Miami Heat,New York Knicks,Madison Square Garden (IV),New York,
3/18/2025,7:30p,Brooklyn Nets,Boston Celtics,TD Garden,Boston,
3/21/2025,7:00p,Orlando Magic,Washington Wizards,Capital One Arena,Washington DC,
3/22/2025,8:00p,Washington Wizards,New York Knicks,Madison Square Garden (IV),New York,
3/24/2025,7:00p,Toronto Raptors,Washington Wizards,Capital One Arena,Washington DC,
3/24/2025,7:30p,Dallas Mavericks,Brooklyn Nets,Barclays Center,New York,
3/25/2025,7:30p,Dallas Mavericks,New York Knicks,Madison Square Garden (IV),New York,
3/26/2025,7:00p,Washington Wizards,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
3/26/2025,7:30p,Toronto Raptors,Brooklyn Nets,Barclays Center,New York,
3/26/2025,7:30p,Los Angeles Clippers,New York Knicks,Madison Square Garden (IV),New York,
3/27/2025,7:00p,Indiana Pacers,Washington Wizards,Capital One Arena,Washington DC,
3/28/2025,7:30p,Los Angeles Clippers,Brooklyn Nets,Barclays Center,New York,
3/29/2025,7:00p,Brooklyn Nets,Washington Wizards,Capital One Arena,Washington DC,
3/29/2025,7:30p,Miami Heat,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
3/30/2025,6:00p,Portland Trail Blazers,New York Knicks,Madison Square Garden (IV),New York,
3/30/2025,7:30p,Toronto Raptors,Philadelphia 76ers,Wells Fargo Center,Philidelphia,
3/31/2025,7:00p,Miami Heat,Washington Wizards,Capital One Arena,Washington DC,
4/1/2025,7:30p,Philadelphia 76ers,New York Knicks,Madison Square Garden (IV),New York,
4/2/2025,7:00p,Sacramento Kings,Washington Wizards,Capital One Arena,Washington DC,
